"Bank Transfer", "Bank Transfer"
"Sofort Banking", "Sofort Banking"
"Ukash","Ukash"
"Paysafecard","Paysafecard"
"Bitcoin", "Bitcoin"
"MyBank", "MyBank"
"Bank Transfer description", "Le transfert bancaire (bank transfer) offre la possibilité de payer localement de votre compte bancaire. Vous recevrez un numéro de référence et le compte bancaire pour pouvoir payer."
"Sofort Banking description","Sofort Banking est une méthode rapide de paiement online par internet banking: transfer bancaire direct de votre compte dans le compte du commerçant."
"Ukash description","Le coupon Ukash est un coupon prépayé que vous pouvez utiliser pour payer-il n\'y a pas de taxes supplémentaires. Par conséquent, si vous voulez payer en utilisant un coupon Ukash, il faut tout simplement aller au <a href="http://www.ukash.com/en-GB/where-to-get/" target="_blank"> plus proche magasin</a>. Pour payer, il faut composer seulement le code formé de 19 chiffres et la valeur du coupon."
"Paysafecard description","Le coupon Paysafecard est un coupon prépayé que vous pouvez utiliser pour payer-il n\'y a pas de taxes supplémentaires. Par conséquent, si vous voulez acheter en utilisant un coupon Paysafecard,  il faut tout simplement aller au<a href="http://www.paysafecard.com/uk/buy/" target="_blank"> plus proche magasin</a>. Puis, il faut composer seulement le code formé de 16 chiffres et c\'est tout- on a déjà payé."
"Bitcoin description", "Bitcoin is the simplest way to pay online. Bitcoin uses peer-to-peer technology to operate with no central authority or banks and is secured by military grade cryptography."
"MyBank description", ""MyBank description", "MyBank est une méthode simple et sûre de paiement par le net en Europe.Tu peux utiliser  on-line banking (transfer bancaire on-line) de ta banque pour payer. Pour plus d\'informations appuyez ici.Choisissez, s\'il vous plaît, l\'une des banques <a href=""https://www.mybankpayments.eu/"" target=""_blank"">ci-joint</a>"